eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2019:Stn50:trawl:sample2175,IYS:GoA2019:Stn50:trawl:sample2175:occ,IYS:GoA2019:Stn50:trawl:sample2175:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn51:trawl:sample2176,IYS:GoA2019:Stn51:trawl:sample2176:occ,IYS:GoA2019:Stn51:trawl:sample2176:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn51:trawl:sample2176,IYS:GoA2019:Stn51:trawl:sample2176:occ,IYS:GoA2019:Stn51:trawl:sample2176:occ:max_length,maximum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,80,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2176,IYS:GoA2019:Stn51:trawl:sample2176:occ,IYS:GoA2019:Stn51:trawl:sample2176:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,70,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2176,IYS:GoA2019:Stn51:trawl:sample2176:occ,IYS:GoA2019:Stn51:trawl:sample2176:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn51:trawl:sample2177,IYS:GoA2019:Stn51:trawl:sample2177:occ,IYS:GoA2019:Stn51:trawl:sample2177:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn51:trawl:sample2177,IYS:GoA2019:Stn51:trawl:sample2177:occ,IYS:GoA2019:Stn51:trawl:sample2177:occ:max_length,maximum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,120,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2177,IYS:GoA2019:Stn51:trawl:sample2177:occ,IYS:GoA2019:Stn51:trawl:sample2177:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,110,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2177,IYS:GoA2019:Stn51:trawl:sample2177:occ,IYS:GoA2019:Stn51:trawl:sample2177:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn51:trawl:sample2178,IYS:GoA2019:Stn51:trawl:sample2178:occ,IYS:GoA2019:Stn51:trawl:sample2178:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
